symbol,sector
ADANIENT,MISCELLANEOUS
ADANIPORTS,MISCELLANEOUS
APOLLOHOSP,MISCELLANEOUS
ASIANPAINT,PAINTS
AXISBANK,BANKING
BAJAJ-AUTO,AUTOMOBILES
BAJFINANCE,FINANCE
BAJAJFINSV,FINANCE
BEL,DEFENCE
BHARTIARTL,TELECOM
BPCL,ENERGY
CIPLA,PHARMACEUTICALS
COALINDIA,MINING
DRREDDY,PHARMACEUTICALS
EICHERMOT,AUTOMOBILES
GRASIM,TEXTILES
HCLTECH,SOFTWARE
HDFCBANK,BANKING
HDFCLIFE,INSURANCE
HEROMOTOCO,AUTOMOBILES
HINDALCO,ALUMINIUM
HINDUNILVR,FMCG
ICICIBANK,BANKING
INDUSINDBK,BANKING
INFY,SOFTWARE
IOC,ENERGY
ITC,FOOD & TOBACCO
JSWSTEEL,STEEL
KOTAKBANK,BANKING
LT,ENGINEERING
M&M,AUTOMOBILES
MARUTI,AUTOMOBILES
NESTLEIND,FOOD & TOBACCO
NTPC,POWER
ONGC,ENERGY
POWERGRID,POWER
RELIANCE,ENERGY
SBIN,BANKING
SBILIFE,INSURANCE
SHRIRAMFIN,FINANCE
SUNPHARMA,PHARMACEUTICALS
TATACONSUM,FMCG
TATAMOTORS,AUTOMOBILES
TATASTEEL,STEEL
TCS,SOFTWARE
TECHM,SOFTWARE
TITAN,RETAILING
TRENT,RETAILING
ULTRACEMCO,CEMENT
WIPRO,SOFTWARE
BRITANNIA,FMCG
